V1,V2,V3
-122.583726150393,49.3833101529903,88.3399963378906
-122.567003367003,49.3833101529903,33.689998626709
-122.550280583614,49.3833101529903,115.019996643066
-122.533557800224,49.3833101529903,301.850006103516
-122.516835016835,49.3833101529903,627.877685546875
-122.500112233446,49.3833101529903,941.11767578125
-122.483389450056,49.3833101529903,1078.73767089844
-122.466666666667,49.3833101529903,722.687683105469
-127.433333333333,49.3666203059805,-1333.42224121094
-127.416610549944,49.3666203059805,-1322.64221191406
-127.399887766554,49.3666203059805,-1315.66223144531
-127.383164983165,49.3666203059805,-1283.81225585938
-127.366442199776,49.3666203059805,-1258.31225585938
-127.349719416386,49.3666203059805,-1170.44226074219
-127.332996632997,49.3666203059805,-1006.53497314453
-127.316273849607,49.3666203059805,-904.614990234375
-127.299551066218,49.3666203059805,-794.375
-127.282828282828,49.3666203059805,-667.815002441406
-127.266105499439,49.3666203059805,-537.315002441406
-127.249382716049,49.3666203059805,-389.565002441406
-127.23265993266,49.3666203059805,-274.375
-127.21593714927,49.3666203059805,-218.244995117188
-127.199214365881,49.3666203059805,-196.6875
-127.182491582492,49.3666203059805,-183.057495117188
-127.165768799102,49.3666203059805,-169.6875
-127.149046015713,49.3666203059805,-155.247497558594
-127.132323232323,49.3666203059805,-147.377502441406
-127.115600448934,49.3666203059805,-150.4375
-127.098877665544,49.3666203059805,-154.127502441406
-127.082154882155,49.3666203059805,-154.747497558594
-127.065432098765,49.3666203059805,-151.502502441406
-127.048709315376,49.3666203059805,-148.432495117188
-127.031986531987,49.3666203059805,-142.682495117188
-127.015263748597,49.3666203059805,-134.182495117188
-126.998540965208,49.3666203059805,-136.682495117188
-126.981818181818,49.3666203059805,-140.872497558594
-126.965095398429,49.3666203059805,-142.682495117188
-126.948372615039,49.3666203059805,-146.122497558594
-126.93164983165,49.3666203059805,-143.375
-126.91492704826,49.3666203059805,-136.744995117188
-126.898204264871,49.3666203059805,-132.565002441406
-126.881481481481,49.3666203059805,-128.625
-126.864758698092,49.3666203059805,-125.184997558594
-126.848035914703,49.3666203059805,-118.625
-126.831313131313,49.3666203059805,-113.495002746582
-126.814590347924,49.3666203059805,-108.125
-126.797867564534,49.3666203059805,-103.309997558594
-126.781144781145,49.3666203059805,-101.059997558594
-126.764421997755,49.3666203059805,-98.1900024414062
-126.747699214366,49.3666203059805,-93.5599975585938
-126.730976430976,49.3666203059805,-85.6900024414062
-126.714253647587,49.3666203059805,-81.6900024414062
-126.697530864198,49.3666203059805,-73.5599975585938
-126.680808080808,49.3666203059805,-57
-126.664085297419,49.3666203059805,-52
-126.647362514029,49.3666203059805,-39.5
-126.63063973064,49.3666203059805,-34.560001373291
-126.61391694725,49.3666203059805,-38.310001373291
